trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23485797,2019-07-01 11:13:53 UTC,2019-07-01 11:46:13 UTC,173,1940.0,243,Lincoln Ave & Sunnyside Ave,347,Ashland Ave & Grace St,Subscriber,Male,1954
23485803,2019-07-01 11:14:02 UTC,2019-07-01 11:21:38 UTC,3316,456.0,287,Franklin St & Monroe St,233,Sangamon St & Washington Blvd,Subscriber,Male,1948
23485811,2019-07-01 11:14:41 UTC,2019-07-01 12:48:10 UTC,351,5609.0,424,Museum of Science and Industry,424,Museum of Science and Industry,Customer,Male,1959
23485826,2019-07-01 11:16:16 UTC,2019-07-01 11:37:51 UTC,4514,1295.0,406,Lake Park Ave & 35th St,4,Burnham Harbor,Subscriber,Male,1958
23485829,2019-07-01 11:16:22 UTC,2019-07-01 11:17:45 UTC,4662,83.0,25,Michigan Ave & Pearson St,25,Michigan Ave & Pearson St,Customer,Male,1959
23485833,2019-07-01 11:16:53 UTC,2019-07-01 11:53:51 UTC,5551,2218.0,225,Halsted St & Dickens Ave,6,Dusable Harbor,Customer,Female,2001
23485847,2019-07-01 11:17:50 UTC,2019-07-01 11:23:33 UTC,6235,343.0,77,Clinton St & Madison St,89,Financial Pl & Ida B Wells Dr,Subscriber,Male,1952
23485857,2019-07-01 11:18:21 UTC,2019-07-01 11:25:46 UTC,4544,445.0,329,Lake Shore Dr & Diversey Pkwy,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1900
23485867,2019-07-01 11:19:33 UTC,2019-07-01 13:50:09 UTC,6391,9036.0,25,Michigan Ave & Pearson St,225,Halsted St & Dickens Ave,Customer,Male,1959
23485878,2019-07-01 11:20:44 UTC,2019-07-01 11:34:52 UTC,1796,848.0,249,Montrose Harbor,240,Sheridan Rd & Irving Park Rd,Subscriber,Male,1956
